,,"Permisos Vigentes de Generación, Importación y Exportación de Energía Eléctrica",,,,,,,,,,,,,,,
,,Comisión Reguladora de Energía / Unidad de Electricidad,,,,,,,,,,,,,,,
,,Actualización: 28 de febrero de 2025,,,,,,,,,,,,,,,
Num,Permisionario,Modalidad,Fecha de Otorgamiento,Número de Permiso,Capacidad Autorizada (MW),Generación Estimada (GWh/Año),Inversion Estimada (Millones de Dólares),Fecha de Entrada en Operación,Energético Primario,Actividad Economica,Tecnología,Estado Actual,Entidad Federativa,Dirección,Empresa Líder,País de Origen,Subasta
8,"Cervecería Modelo de Guadalajara, S. de R. L. de C. V.",U.P.C.,16/02/1978,1044,6.50,43.00,$5.85,16/02/1978,Gas Natural,Alimentos,Bioenergía,En operación,Jalisco,"Av. Mariano Otero No. 663, C.P. 44900, Guadalajara, Jalisco",Grupo Modelo / ABInbev,México - Bélgica,
9,"Ingenio La Gloria, S. A.",U.P.C.,17/03/1978,1225,21.50,140.71,$25.80,17/03/1978,Bagazo de Caña,Azucarero,Bioenergía,En operación,Veracruz,"Domicilio conocido, Congregación La Gloria , C.P. 91663, Ursulo Galván, Veracruz",Grupo Azucarero del Trópico,México,
10,"Industrial Azucarera Atencingo, S. A. de C. V.",U.P.C.,14/04/1978,1258,15.00,18.12,$18.00,14/04/1978,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Puebla,"Domicilio Conocido S/N, Atencingo, Chietla, C. P. 74583, Puebla",Zucarmex,México,
11,"Cervecería Modelo, S. de R. L. de C. V.",U.P.C.,17/04/1978,1260,19.00,133.15,$22.80,17/04/1978,Gas Natural,Alimentos,Termoeléctrica Convencional,En operación,Ciudad de México,"Lago Alberto No. 156, Col. Anahuac, C.P. 11320, Miguel Hidalgo, Ciudad de México",Grupo Modelo / ABInbev,México / Bélgica,
12,"Central Motzorongo, S. A. de C. V.",U.P.C.,12/05/1978,1290,20.00,15.95,$24.00,12/05/1978,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Veracruz,"Domicilio conocido en Motzorongo, C.P. 95090, Tezonapa, Veracruz","Central Motzorongo, S. A. de C. V.",México,
13,"Ingenio El Refugio, S. A. de C. V.",U.P.C.,12/05/1978,1295,4.00,15.00,$4.80,12/05/1978,Bagazo de Caña y Combustóleo,Azucarero,Bioenergía,En operación,Oaxaca,"Domicilio conocido, El Refugio, C.P. 68411, Cosolapa, Oaxaca","Central Motzorongo, S. A. de C. V.",México,
14,"Ingenio San Miguel del Naranjo, S. A. de C. V.",U.P.C.,12/05/1978,1314,49.30,157.08,$59.16,12/05/1978,Bagazo de Caña,Azucarero,Bioenergía,En operación,San Luis Potosí,"Domicilio Conocido, El Naranjo, C.P. 79310, San Luis Potosí, San Luis Potosí",Beta San Miguel,México,
15,"Bio Pappel Scribe, S. A. de C. V.",U.P.C.,11/07/1978,1384,3.50,28.87,$4.20,11/07/1978,Combustóleo,Papelero,Bioenergía,En operación,Michoacán,"Domicilio conocido en Ejido de Cointzio, C.P. 58341, Morelia, Michoacán",Bio Pappel,México,
16,"Empaques Modernos San Pablo, S. A. de C. V.",U.P.C.,17/09/1980,2201,14.00,36.79,$16.80,17/09/1980,Gas Natural,Papelero,Termoeléctrica Convencional,En operación,Estado de México,"Prolongación Poniente 150 s/n, Col. San Pablo Xalpa, C.P. 54090, Tlalnepantla, Estado de México",Grupo Gondi,México,
17,"Ingenio San Nicolás, S. A. de C. V.",U.P.C.,23/10/1980,2375,11.50,37.00,$11.02,23/10/1980,Bagazo de Caña,Azucarero,Bioenergía,En operación,Veracruz,"Domicilio Conocido Cuichapa, C.P. 94920, Cuichapa, Veracruz",ASR - GROUP,Estados Unidos,
18,"Ingenio Plan de Ayala, S. A. de C. V.",U.P.C.,28/01/1981,2487,16.00,20.02,$19.20,28/01/1981,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,San Luis Potosí,"Carretera al Ingenio Km. 3.5, C.P. 79030, Ciudad Valles, San Luis Potosí",Ingenios Santos,México,
19,"Central Casasano, S. A. de C. V.",U.P.C.,30/04/1982,3242,3.40,4.43,$4.08,30/04/1982,Bagazo de Caña y Combustóleo,Azucarero,Bioenergía,En operación,Morelos,"Av. Benito Juárez 113, El Casasano, C.P. 62759, Cuautla, Morelos",Beta San Miguel,México,
20,"Ingenio Santa Clara, S. A. de C. V.",U.P.C.,22/03/1984,3474,9.10,4.93,$10.74,22/03/1984,Bagazo de Caña,Azucarero,Bioenergía,En operación,Michoacán,"Domicilio Conocido, Santa Clara, C.P. 59961, Tocumbo, Michoacán",Grupo Porres,México,
21,"Santa Rosalía de La Chontalpa, S. A. de C. V.",U.P.C.,15/06/1984,3519,25.20,32.26,$30.24,15/06/1984,Bagazo de Caña,Azucarero,Bioenergía,En operación,Tabasco,"R/A Rio Seco 2da. Sección, C.P. 86470, Cárdenas, Tabasco",Beta San Miguel,México,
22,"Ingenio Quesería, S. A. de C. V.",U.P.C.,23/10/1984,3574,5.50,13.78,$6.60,23/10/1984,Bagazo de Caña y Combustóleo,Azucarero,Bioenergía,En operación,Colima,"Juan M. Cardenas, Núm.1, Col. Queseria, C.P. 28510, Cuauhtemoc, Colima",Beta San Miguel,México,
23,"Compañía Industrial Azucarera, S. A. de C. V.",U.P.C.,06/02/1985,3591,5.50,18.43,$6.60,06/02/1985,Bagazo de Caña y Combustóleo,Azucarero,Bioenergía,En operación,Veracruz,"Principal s/n, Juan Díaz Covarrubias, C.P. 95850, Veracruz, Veracruz",Ingenios Santos,México,
24,"Ingenio Azucarero Modelo, S. A. de C. V.",U.P.C.,08/04/1985,3629,9.00,7.76,$10.80,08/04/1985,Bagazo de Caña y Combustóleo,Azucarero,Bioenergía,En operación,Veracruz,"Calle Salvador Esquer Núm. 9, Ciudad Cardel, C.P. 91680, La Antigua, Veracruz",Grupo Porres,México,
25,"Ingenio Pánuco, S. A. P. I. de C. V.",U.P.C.,13/02/1986,3730,17.60,26.51,$21.12,13/02/1986,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Veracruz,"Domicilio conocido, Alto del Estero, C.P. 92000, Pánuco, Veracruz",Grupo Pantaleon,Guatemala,
26,"Compañía Cervecera El Trópico, S. de R. L. de C. V.",U.P.C.,16/05/1989,4123,25.00,219.00,$30.00,16/05/1989,Gas Natural y Combustóleo,Alimentos,Bioenergía,En operación,Oaxaca,"Km. 2 Carretera Tuxtepec-Oaxaca , Col. Tuxtepec, C.P. 68300, San Juan Bautista Tuxtepec, Oaxaca",Grupo Modelo / ABInbev,México - Bélgica,
27,"Compañía Occidental Mexicana, S. A. de C. V.",U.P.C.,14/09/1989,4184,8.75,5.60,$7.88,14/09/1989,Diésel,Minero,Combustión Interna,En operación,Baja California Sur,"Domicilio Conocido, Isla San Marcos, C.P. 23920, Comondú, Baja California Sur","Compañía Occidental Mexicana, S. A. de C. V.",México,
28,"Exportadora de Sal, S. A. de C. V., Planta Guerrero Negro e Isla de Cedros",U.P.C.,01/10/1991,4466,22.05,29.18,$19.85,01/10/1991,Diésel,Minero,Combustión Interna,En operación,Baja California Sur,"Domicilio Conocido, Guerrero Negro, C.P. 23940, Mulege, Baja California Sur",Gobierno Federal Mexicano a través del Fideicomiso del Fomento Minero / Mitsubishi Corporation,México - Japón,
29,"Compañía Cervecera de Zacatecas, S. de R. L. de C. V.",U.P.C.,28/08/1992,4469,50.00,68.78,$60.00,28/08/1992,Biogás y Gas Natural,Alimentos,Bioenergía,En operación,Zacatecas,"Km. 33.2 Carretera Federal 45 Zacatecas-Fresnillo, Col. Calera de Víctor Rosales, C.P. 98500, Calera, Zacatecas",Grupo Modelo,México,
30,Productora de Papel; S. A. de C. V.,COG.,20/07/1994,07/COG/94,18.00,115.86,$17.10,15/10/1994,Gas Natural,Papelero,Ciclo Combinado,En operación,Nuevo León,Km. 7; de la Vía F.F.C.C. a Matamoros; C.P. 66490; San Nicolás de los Garza; Nuevo León,"Productora de Papel, S. A. de C. V.",México,
31,"Fersinsa Gist-Brocades, S. A. de C. V.",COG.,20/07/1994,08/COG/94,6.00,42.40,$5.40,30/11/1994,Gas Natural,Alimentos,Turbogás,En operación,Coahuila,"Carretera Monterrey-Saltillo Km. 12.5, Ramos Arizpe, Coahuila.","Corporativo Benavides, S.A. de C. V.",México,
32,"Pemex-Exploración y Producción, Complejo Marino de Producción Abkatún-D",AUT.,06/09/1994,09/AUT/94,7.12,24.00,$6.41,31/12/1991,Gas Dulce,Petrolero,Turbogás,En operación,Campeche,"Complejo Abkatún-D, en la Sonda de Campeche, Cd. del Carmen, Campeche",Pemex,México,
33,"Almidones Mexicanos, S. A. de C. V.",GEN.,05/10/1994,E/12/GEN/94,38.64,166.02,$10.80,30/04/1996,Gas Natural,Alimentos,Turbogás,En operación,Jalisco,"Calle 26, Núm. 2756, Col. Zona Industrial, C.P. 44940, Guadalajara, Jalisco",A. E. Staley Manufacturing Co.,Estados Unidos,
34,"Innophos Fosfatados de México, S. de R. L. de C. V.",COG.,01/03/1995,22/COG/95,6.25,44.00,$7.50,30/03/1995,Gas Natural,Petroquímico,Termoeléctrica Convencional,En operación,Veracruz,"Complejo Industrial Pajaritos, Av. 5 y 12, Col. Pajaritos, C.P. 96400, Coatzacoalcos, Veracruz",Innophos TGI,México,
35,"Papelera Veracruzana, S. A. de C. V.",GEN.,01/03/1995,E/20/GEN/95,1.26,3.27,$1.89,25/09/1998,Agua,Papelero,Hidroeléctrica,En operación,Veracruz,"Casco Ex-hacienda San Antonio , Col. Rafael Delgado , C.P. 94390, Rafael Delgado, Veracruz",Papelera Veracruzana,México,
36,"Flextronics Technologies San Luis, S. A. de C. V.",IMP.,04/03/1996,E/31/IMP/96,5.00,4.60,$1.00,01/11/1996,Importación,Importación,Importación,En operación,Sonora,"De la Industria y Miguel de la Madrid s/n, Col. Parque Industrial, San Luis Río Colorado, Sonora",MCI (Mirror Controls International) Netherlands B.V.,Países Bajos,
37,"Termoeléctrica del Golfo, S. de R. L. de C. V.",GEN.,24/05/1996,E/35/GEN/96,290.00,1974.50,$609.00,29/04/2004,Coque,Cementero,Lecho Fluidizado,En operación,San Luis Potosí,"Fracción las Palmas, C.P. 64000, Tamuín, San Luis Potosí",Cemex,México,
38,"Enertek, S. A. de C. V.",GEN.,24/05/1996,E/36/GEN/96,168.00,1335.63,$163.20,01/02/1998,Gas Natural,Petroquímico,Turbogás,En operación,Tamaulipas,"Km. 17.5 carretera Tampico-Mante,Altamira, Tamaulipas",Mexico Infrastructure Partners (MIP),México,
39,"Pemex-Exploración y Producción, Complejo Marino de Producción Abkatún Inyección de Agua",AUT.,31/05/1996,E/38/AUT/96,35.75,33.80,$32.18,31/12/1991,Gas Dulce,Petrolero,Turbogás,En operación,Campeche,"Complejo Marino de Producción Abkatún-A, en la Sonda de Campeche, Cd. del Carmen, Campeche",Pemex,México,
40,"Pemex-Exploración y Producción, Centro Operativo Cayo Arcas",AUT.,31/05/1996,E/39/AUT/96,5.50,21.90,$4.95,31/12/1991,Diésel,Petrolero,Combustión Interna,En operación,Campeche,"Plataforma de Medición Cayo Arcas, en la Sonda de Campeche, Cd. del Carmen, Campeche",Pemex,México,
41,"Pemex-Exploración y Producción, Complejo marino de producción KU-A",AUT.,31/05/1996,E/40/AUT/96,10.19,10.59,$9.17,31/12/1991,Gas Dulce y Diésel,Petrolero,Turbogás,En operación,Campeche,"Complejo marino de producción KU-A, en la Sonda de Campeche, Cd. del Carmen, Campeche",Pemex,México,
42,"Pemex-Exploración y Producción, Complejo Marino de Producción Ku-H",AUT.,31/05/1996,E/41/AUT/96,14.85,75.38,$13.37,31/12/1991,Diésel,Petrolero,Turbogás,En operación,Campeche,"Complejo Marino De Producción KU-H, en la Sonda de Campeche, Cd. del Carmen, Campeche",Pemex,México,
43,"Pemex-Exploración y Producción, Complejo Marino de Producción NOHOCH-A",AUT.,31/05/1996,E/42/AUT/96,13.97,95.01,$12.57,31/12/1991,Gas Dulce y Diésel,Petrolero,Turbogás,En operación,Campeche,"Complejo Marino de Producción Nohoch-A, en la Sonda de Campeche, Cd. del Carmen, Campeche",Pemex,México,
44,"Pemex-Exploración y Producción, Complejo marino de producción POL-A",AUT.,31/05/1996,E/43/AUT/96,9.17,17.28,$8.26,31/12/1991,Gas Dulce,Petrolero,Turbogás,En operación,Campeche,"Complejo marino de producción Pol-A, en la Sonda de Campeche, Cd. del Carmen, Campeche",Pemex,México,
45,"Pemex-Exploración y Producción, Complejo Marino de Rebombeo",AUT.,31/05/1996,E/44/AUT/96,4.65,22.77,$4.19,31/12/1991,Gas Natural y Diésel,Petrolero,Turbogás,En operación,Campeche,"Complejo Marino De Rebombeo, en la Sonda de Campeche, Cd. del Carmen, Campeche",Pemex,México,
46,"Energía Bidarena, S. de R. L. de C. V.",COG.,21/06/1996,E/46/COG/96,6.15,22.20,$5.54,16/03/1998,Gas Natural,Papelero,Combustión Interna,En operación,Estado de México,"Antiguo Camino Real a Veracruz Km. 17.5, San Sebastián, Teotihuacan, Estado de México","Manufacturera de Papel Bidasoa, S.A. de C.V.",México,
47,"Ingredion México, S. A. de C. V.",GEN.,04/09/1996,E/049/GEN/96,29.20,195.45,$28.23,01/12/1996,Gas Natural,Alimentos,Cogeneración Eficiente,En operación,Querétaro,"Av. Constituyentes, Núm. 149, Col. Zona Industrial Valle de Oro, C.P. 07680, San Juan del Río, Querétaro","Corn Products Sales, LLC",Estados Unidos,
48,"Residuos Industriales Multiquim, S. A. de C. V.",AUT.,03/12/1996,E/53/AUT/96,1.56,0.86,$1.40,03/12/1996,Diésel,Químico,Combustión Interna,En operación,Nuevo León,"Km.86, de la Carretera Monterrey-Monclova, Mina, Nuevo León","Sarp Industries México, S. A. de C. V.",Francia,
49,"Pemex-Exploración y Producción, Sistema de bombeo electrocentrífugo para el campo Ek-Balam",AUT.,13/12/1996,E/54/AUT/96,16.74,30.35,$15.06,31/12/1991,Gas Dulce,Petrolero,Turbogás,En operación,Campeche,"A 92 Kilómetros de la Costa, en la Sonda de Campeche, Cd. del Carmen, Campeche",Pemex,México,
50,"Servicios de Agua y Drenaje de Monterrey, I. P. D. Gobierno del Estado de Nuevo León, Planta Dulces Nombres",AUT.,24/01/1997,E/56/AUT/97,9.20,40.20,$8.28,24/08/1997,Biogás,Municipal,Bioenergía,En operación,Nuevo León,"Km. 2.4, de la Carretera Pesquería-Dulces Nombres, Pesquería, Nuevo León",Gobierno del Estado de Nuevo León,México,
51,"AES Mérida III, S. de R. L. de C. V.",P.I.E.,19/02/1997,E/57/PIE/97,531.50,3400.00,$538.83,31/05/2000,Gas Natural y Diésel,Productor Independiente,Ciclo combinado,En operación,Yucatán,"Ciudad Industrial Felipe Carrillo Puerto, C.P. 97288, Mérida, Yucatán",AES,Estados Unidos,
52,"Fuerza Eólica del Istmo, S. A. de C. V.",AUT.,14/01/1998,E/70/AUT/98,80.00,350.00,$160.00,08/10/2011,Viento,Industrias Diversas,Eólica,En operación,Oaxaca,"Carretera Transismica Federal 185, Km. 59, Población de la Ventosa, Ixpantepec Nieves, Oaxaca",Grupo Peñoles,México,
53,"Pemex Transformación Industrial, Complejo Procesador de Gas Cactus",COG.,23/01/1998,E/73/COG/98,72.42,315.16,$65.45,31/12/1991,Gas Natural,Petroquímico,Turbogás,En operación,Chiapas,"Complejo Procesador Cactus, Ejido San Miguel, Segunda Sección, C.P. 29500, Reforma, Chiapas",Pemex,México,
54,"Pemex Transformación Industrial, Complejo Petroquímico Morelos",GEN.,13/02/1998,E/74/GEN/98,172.00,490.56,$198.00,31/12/1991,Gas Natural,Petroquímico,Ciclo combinado,En operación,Veracruz,"Ejido Pajaritos, s/n, Col. Gavilán de Allende, C.P. 96400, Coatzacoalcos, Veracruz",Pemex,México,
55,"Pemex Transformación Industrial, Complejo Petroquímico Cangrejera",COG.,13/02/1998,E/75/COG/98,163.50,762.00,$190.35,31/12/1991,Gas Natural,Petroquímico,Ciclo combinado,En operación,Veracruz,"kilómetro 10 de la Carretera a Villahermosa, C.P. 96400, Coatzacoalcos, Veracruz",Pemex,México,
56,"Pemex Transformación Industrial, Complejo Petroquímico Pajaritos",COG.,13/02/1998,E/76/COG/98,58.50,202.00,$52.65,31/12/1991,Gas Natural,Petroquímico,Turbogás,En operación,Veracruz,"km 7.5, de la Carretera Coatzacoalcos-Villahermosa, Población Pajaritos, C.P. 96400, Coatzacoalcos, Veracruz",Mexichem S.A.B,México,
57,"Agroindustrias del Balsas, S. A. de C. V.",GEN.,11/03/1998,E/077/GEN/98,15.00,120.50,$18.00,31/12/1991,Combustóleo,Químico,Termoeléctrica Convencional,En operación,Michoacán,"Isla de Enmedio s/n, Recinto Portuario, C.P. 60950, Lázaro Cárdenas, Michoacán","Grupo Fertinal, S. A. de C. V.",México,
58,"Piasa Ingenio Plan de San Luis, S. A. de C. V.",AUT.,11/03/1998,E/78/AUT/98,9.00,18.00,$10.80,31/12/1991,Bagazo de Caña y Combustóleo,Azucarero,Bioenergía,En operación,San Luis Potosí,"Ejido La Hincada, en Ciudad Valles, C.P. 79000, Ciudad Valles, San Luis Potosí","Promotora Industrial Azucarera, S. A. de C. V.",México,
59,"Pemex-Refinación, Gerencia de Terminal Logística Pajaritos.",AUT.,20/03/1998,E/80/AUT/98,49.69,86.00,$44.72,31/12/1991,Gas Natural,Petroquímico,Turbogás,En operación,Veracruz,"Carretera Coatzacoalcos-Villahermosa km 5.5 , Col. Complejo Industrial Pajaritos, C.P. 96740, Coatzacoalcos, Veracruz",Pemex,México,
60,"Ingenio Presidente Benito Juárez, S. A. de C. V.",AUT.,27/03/1998,E/81/AUT/98,14.00,20.00,$16.80,31/12/1991,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Tabasco,"Poblado C-27, Col. H. Cardenas, C.P. 86500, Cárdenas, Tabasco","Grupo Azucarero México, S. A. de C. V.",México,
61,"Mexicana de Cobre, S. A. de C. V.",AUT.,17/04/1998,E/84/AUT/98,36.50,287.61,$43.80,31/12/1991,Combustóleo,Minero,Termoeléctrica Convencional,En operación,Sonora,"Km. 21, s/n, De La Carretera Nacozari-Agua Prieta, C.P. 84340, Nacozari de García, Sonora","Asarco Mexicana, S. A.",Estados Unidos,
62,"Grupo Azucarero San Pedro, S. A. de C. V.",AUT.,24/04/1998,E/85/AUT/98,10.00,10.80,$12.00,31/12/1991,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Veracruz,"Camino Vecinal Lerdo-Saltabarranca s/n, Col. Lerdo de Tejada, C.P. 95280, Lerdo de Tejada, Veracruz","Nacional Financiera, S. N. C.",México,
63,"Corporativo Azucarero Emiliano Zapata, S. A. de C. V.",AUT.,24/04/1998,E/86/AUT/98,8.60,20.50,$10.32,31/12/1991,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Morelos,"Calle de Salona, s/n, Col. Lazaro Cardenas, C.P. 62780, Zacatepec, Morelos",Beta San Miguel,México,
64,"Central San Miguelito, S. A. de C. V.",AUT.,22/05/1998,E/87/AUT/98,5.20,6.69,$6.24,31/12/1991,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Veracruz,"Domicilio Conocido, Congregación Buena Vista, C.P. 94680, Córdoba, Veracruz",Beta San Miguel,México,
65,"Industrial Azucarera San Cristóbal, S. A. de C. V.",AUT.,22/05/1998,E/88/AUT/98,24.20,38.15,$28.68,31/12/1991,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Veracruz,"Nicolas Bravo, Núm. 5, Col. Carlos A. Carrillo, C.P. 95330, Carrillo Puerto, Veracruz","Consorcio Norteamericano del Azúcar, S. A. de C. V.",México,
66,"Ingenio Lázaro Cárdenas, S. A. de C. V.",GEN.,22/05/1998,E/91/GEN/98,8.00,11.63,$9.60,31/12/1991,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Michoacán,"Casco Ex-Hacienda, s/n, Col. Centro, C.P. 61710, Taretán, Michoacán","Financiera Nacional Azucarera, S. A.",México,
67,"Azsuremex, S. A. de C. V.",AUT.,22/05/1998,E/92/AUT/98,2.50,1.95,$3.00,31/12/1991,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Tabasco,"Km. 2 de la Carretera a la Palma, C.P. 86901, Tenosique, Tabasco","Nacional Financiera, S. N. C.",México,
68,"Altos Hornos de México, S. A. B. de C. V.",GEN.,12/06/1998,E/094/GEN/98,260.30,1500.00,$261.41,31/12/1991,"Gas Natural, Gas de Alto Horno, Gas de Coque y Combustóleo",Siderúrgico,Ciclo combinado,En operación,Coahuila,"Juárez s/n , Col. La Loma, C.P. 25770, Monclova, Coahuila",AHMSA,México,
69,"INEOS Styrolution Mexicana, S. A. de C. V.",COG.,26/06/1998,E/96/COG/98,10.60,88.93,$9.54,01/03/1999,Gas Natural,Químico,Turbogás,En operación,Tamaulipas,"Km. 1.8 del Boulevard de los Ríos, Parque Industrial Fondeport, C.P. 89600, Altamira, Tamaulipas",INEOS Styrolution Group GmbH,Alemania,
70,"Ingenio Tala, S. A. de C. V.",AUT.,15/07/1998,E/98/AUT/98,9.00,19.17,$10.80,31/12/1991,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Jalisco,"Km. 46, de la carretera Guadalajara-Ameca-Puerto V, C.P. 45300, Tala, Jalisco","Grupo Azucarero México, S. A. de C. V.",México,
71,"Pemex-Exploración y Producción, Centro de Proceso Akal-C",AUT.,12/08/1998,E/103/AUT/98,27.77,140.16,$24.99,31/12/1991,Gas Natural y Diésel,Petrolero,Turbogás,En operación,Campeche,"Complejo Marino de Producción Akal-C, en la Sonda de Campeche, Campeche",Pemex,México,
72,"Pemex-Exploración y Producción, Complejo Marino de Producción Akal-J",AUT.,12/08/1998,E/104/AUT/98,16.93,111.26,$15.24,31/12/1991,Gas Natural y Diésel,Petrolero,Turbogás,En operación,Campeche,"Complejo Marino de Producción Akal-J, en la Sonda de Campeche, Campeche",Pemex,México,
73,"Pemex-Exploración y Producción, Complejo Marino de Producción Abkatun-A",AUT.,12/08/1998,E/106/AUT/98,14.52,61.00,$13.07,31/12/1991,Gas Dulce,Petrolero,Turbogás,En operación,Campeche,"Complejo Marino de Producción Abkatún-A, en la Sonda de Campeche, Campeche",Pemex,México,
74,"Pemex-Logística, Centro de Proceso y Transporte de Gas Atasta",AUT.,13/08/1998,E/107/AUT/98,8.10,21.35,$7.29,31/12/1991,Gas Natural,Petrolero,Turbogás,En operación,Campeche,"Carretera Federal 180 Ciudad del Carmen - Villahermosa, Km. 33, C.P. 24180, Carmen, Campeche",Pemex,México,
75,"Ingenio El Molino, S. A. de C. V.",AUT.,11/09/1998,E/108/AUT/98,10.00,8.70,$12.00,31/12/1991,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Nayarit,"12 de Octubre Sur, Núm. 195, Col. Menchaca, C.P. 63150, Tepic, Nayarit",Sr. José M. Menchaca,México,
76,"Papelera Industrial Potosina, S. de R. L. de C. V.",GEN.,09/10/1998,E/113/GEN/98,6.53,35.37,$6.04,12/02/1999,Gas Natural,Papelero,Ciclo combinado,En operación,San Luis Potosí,"Eje Número 114, s/n , Col. Zona Industrial, C.P. 78090, San Luis Potosí, San Luis Potosí",Grupo Gondi,México,
77,"Cervecería Cuauhtémoc-Moctezuma, S. A. de C. V., Planta Orizaba",AUT.,16/10/1998,E/114/AUT/98,8.23,29.16,$11.74,31/12/1991,Agua y Gas Natural,Alimentos,Hidroeléctrica,En operación,Veracruz,"Sur 10 y Poniente 9 s/n, Col. Orizaba, C.P. 94300, Orizaba, Veracruz","FEMSA Cerveza, S. A. de C. V.",México,
78,"Ingenio Tamazula, S. A. de C. V.",AUT.,26/10/1998,E/116/AUT/98,20.60,23.38,$24.72,31/12/1991,Bagazo de Caña y Combustóleo,Azucarero,Bioenergía,En operación,Jalisco,"Boulevard Ramón Corona, Núm. 1126, Col. Centro, C.P. 49650, Tamazula de Gordiano, Jalisco","Grupo Industrial Azucarero de Occidente, S. A. de C. V.",México,
79,"Ingenio Alianza Popular, S. A. de C. V.",AUT.,03/11/1998,E/119/AUT/98,6.40,13.20,$7.56,31/12/1991,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,San Luis Potosí,"Domicilio conocido, Col. Tambaca, C.P. 79730, Tamasopo, San Luis Potosí","Financiera Nacional Azucarera, S. A.",México,
80,"Generadora Eléctrica San Rafael, S. A. P. I. de C. V.",AUT.,11/11/1998,E/121/AUT/98,28.80,150.00,$43.20,01/02/2016,Agua,Generación,Hidroeléctrica,En operación,Nayarit,"a 16 km aguas abajo de la Central Aguamilpa, en la Presa Reguladora San Rafael, Municipio de Tepic, Nayarit.",Wal-Mart,Estados Unidos,
81,"Fuerza y Energía de Hermosillo, S. A. de C. V.",P.I.E.,23/11/1998,E/124/PIE/98,270.00,1800.00,$256.19,01/10/2001,Gas Natural,Productor Independiente,Ciclo combinado,En operación,Sonora,"Ejido de la Manga, Hermosillo, Sonora",Naturgy,España,
